rowID,layout,headerText,tagText,bodyText,additionalHeaderText,additionalTagText,additionalBodyText,isEnable
ShopSlot_Archer,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Fires <color=red>1</color> bullet at the nearest enemy.",Lv.3,,Reduces attack cooldown by 30%.,TRUE
ShopSlot_Handgunner,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Fires <color=red>3</color> bullets at the nearest enemy.",Lv.3,,Increases the bullet count to 8.,TRUE
ShopSlot_Shotgunner,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Fires <color=red>3</color> bullets across a 45-degree arc.",Lv.3,,Turns the arc into a full circle and increases the bullet count.,TRUE
ShopSlot_Artillery,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Launches a massive <color=red>1</color> cannonball that pierces enemies.",Lv.3,,Doubles the cannonball’s movement speed.,TRUE
ShopSlot_Sniper,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Fires <color=red>1</color> high-speed bullet that pierces enemies.",Lv.3,,Reduces attack cooldown by 50%.,TRUE
ShopSlot_Trickshooter,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Fires rapid machine-gun shots at the nearest enemy.",Lv.3,,Bullets pierce enemies.,TRUE
ShopSlot_Wizard,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Creates <color=red>3</color> magic circles on the nearest enemy.",Lv.3,,Increases the magic circle count to 8.,TRUE
ShopSlot_Magician,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Fires a magic orb at the nearest enemy,\ndealing immediate damage and <color=red>DoT</color> damage.",Lv.3,,DoT damage is doubled.,TRUE
ShopSlot_Explomancer,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Creates a magic circle at the nearest enemy,\ndealing immediate damage and <color=red>DoT</color> damage to enemies within it.",Lv.3,,Halves the DoT interval.,TRUE
ShopSlot_Telekinetic,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Creates a gravity field at the nearest enemy’s location,\npulling enemies inward.",Lv.3,,Doubles the gravity field’s duration.,TRUE
ShopSlot_Transmuter,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Fires a magic orb at the nearest enemy,\ndisabling its abilities.",Lv.3,,Roots enemies hit by the magic orb.,TRUE
ShopSlot_Artificer,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Deploys a hextech robot to an adjacent tile.",Lv.3,,The hextech robot has a 30% chance to slow enemies.,TRUE
ShopSlot_Miner,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Drops <color=red>1</color> gold every 5/4/3 attacks.",,,,TRUE
ShopSlot_Alchemist,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Nearby heroes gain <color=red>20</color>% DEF Ignore.",Lv.3,,Nearby heroes’ DEF Ignore increases to 40%.,TRUE
ShopSlot_Saint,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Nearby heroes gain <color=red>20</color>% ATK.",Lv.3,,Nearby heroes’ ATK increases to 40%.,TRUE
ShopSlot_Sancitifier,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Nearby heroes decrease cooldown by <color=red>20</color>%.",Lv.3,,Nearby heroes’ cooldown decreases by 40%.,TRUE
ShopSlot_Crusader,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Periodically deals damage to enemies within range.",Lv.3,,Deals double damage to enemies.,TRUE
