rowID,type,soundAddresses,channelCount,loop,isEnable
BGM_Main,BGM,Sound/BGM/Main.mp3,1,TRUE,TRUE
SFX_Click,SFX,Sound/SFX/Click.ogg,20,FALSE,TRUE
SFX_Error,SFX,Sound/SFX/Error.ogg,20,FALSE,TRUE
SFX_Hover1,SFX,Sound/SFX/Hover1.ogg,10,FALSE,TRUE
SFX_Hover2,SFX,Sound/SFX/Hover2.ogg,10,FALSE,TRUE
SFX_LevelUp,SFX,Sound/SFX/LevelUp.ogg,2,FALSE,TRUE
SFX_Coin,SFX,Sound/SFX/Coin1.ogg|Sound/SFX/Coin2.ogg|Sound/SFX/Coin3.ogg,3,FALSE,TRUE
SFX_Damage,SFX,Sound/SFX/Damage1.ogg|Sound/SFX/Damage2.ogg|Sound/SFX/Damage3.ogg,50,FALSE,TRUE
SFX_Archer,SFX,Sound/SFX/Archer1.ogg|Sound/SFX/Archer2.ogg,5,FALSE,TRUE
SFX_HandShot,SFX,Sound/SFX/HandShot1.ogg|Sound/SFX/HandShot2.ogg,20,FALSE,TRUE
SFX_Artillery,SFX,Sound/SFX/Artillery1.ogg|Sound/SFX/Artillery2.ogg,5,FALSE,TRUE
SFX_Sniper,SFX,Sound/SFX/Sniper.ogg,5,FALSE,TRUE
SFX_Trickshooter,SFX,Sound/SFX/Trickshooter.ogg,30,FALSE,TRUE
SFX_Starborn,SFX,Sound/SFX/Starborn.ogg,50,FALSE,TRUE
SFX_Magician,SFX,Sound/SFX/Magician1.ogg|Sound/SFX/Magician2.ogg|Sound/SFX/Magician3.ogg,6,FALSE,TRUE
SFX_Wizard,SFX,Sound/SFX/Wizard1.ogg|Sound/SFX/Wizard2.ogg,24,FALSE,TRUE
SFX_Explomancer,SFX,Sound/SFX/Explomancer.ogg,5,FALSE,TRUE
SFX_Telekinetic,SFX,Sound/SFX/Telekinetic1.ogg|Sound/SFX/Telekinetic2.ogg,5,FALSE,TRUE
SFX_Transmuter,SFX,Sound/SFX/Transmuter1.ogg|Sound/SFX/Transmuter2.ogg|Sound/SFX/Transmuter3.ogg,10,FALSE,TRUE
SFX_Typing,SFX,Sound/SFX/Typing1.ogg|Sound/SFX/Typing2.ogg|Sound/SFX/Typing3.ogg|Sound/SFX/Typing4.ogg,20,FALSE,TRUE
SFX_Count,SFX,Sound/SFX/Count.ogg,5,FALSE,TRUE
