rowID,waveID,enemyID,spawnCount,startTime,spawnInterval,order,isEnable
Stage_01_01_01,Stage_01_01,Enemy_Normal,5,0,0.8,0,TRUE
Stage_01_02_01,Stage_01_02,Enemy_Normal,5,0,0.75,0,TRUE
Stage_01_03_01,Stage_01_03,Enemy_Normal,5,0,0.7,0,TRUE
Stage_02_01_01,Stage_02_01,Enemy_Normal,7,0,0.75,0,TRUE
Stage_02_02_01,Stage_02_02,Enemy_Normal,8,0,0.7,0,TRUE
Stage_02_03_01,Stage_02_03,Enemy_Normal,9,0,0.65,0,TRUE
Stage_03_01_01,Stage_03_01,Enemy_Normal,10,0,0.7,0,TRUE
Stage_03_02_01,Stage_03_02,Enemy_Normal,12,0,0.65,0,TRUE
Stage_03_02_02,Stage_03_02,Enemy_Enrager,1,2,1,1,TRUE
Stage_03_03_01,Stage_03_03,Enemy_Normal,12,0,0.6,0,TRUE
Stage_03_03_02,Stage_03_03,Enemy_Enrager,2,2,1.4,1,TRUE
Stage_04_01_01,Stage_04_01,Enemy_Normal,12,0,0.65,0,TRUE
Stage_04_02_01,Stage_04_02,Enemy_Normal,12,0,0.6,0,TRUE
Stage_04_02_02,Stage_04_02,Enemy_Tanker,1,2,1,1,TRUE
Stage_04_03_01,Stage_04_03,Enemy_Normal,14,0,0.58,0,TRUE
Stage_04_03_02,Stage_04_03,Enemy_Enrager,1,2.5,1,1,TRUE
Stage_04_04_01,Stage_04_04,Enemy_Normal,14,0,0.55,0,TRUE
Stage_04_04_02,Stage_04_04,Enemy_Tanker,1,2,1,1,TRUE
Stage_04_04_03,Stage_04_04,Enemy_Enrager,1,3,1,2,TRUE
Stage_05_01_01,Stage_05_01,Enemy_Normal,14,0,0.6,0,TRUE
Stage_05_01_02,Stage_05_01,Enemy_Tanker,1,2,1,1,TRUE
Stage_05_02_01,Stage_05_02,Enemy_Normal,14,0,0.55,0,TRUE
Stage_05_02_02,Stage_05_02,Enemy_Enrager,2,2,1.5,1,TRUE
Stage_05_03_01,Stage_05_03,Enemy_Normal,16,0,0.53,0,TRUE
Stage_05_03_02,Stage_05_03,Enemy_Tanker,2,2,1.8,1,TRUE
Stage_05_04_01,Stage_05_04,Enemy_Normal,16,0,0.5,0,TRUE
Stage_05_04_02,Stage_05_04,Enemy_Tanker,2,1.5,1.6,1,TRUE
Stage_05_04_03,Stage_05_04,Enemy_Enrager,1,3,1,2,TRUE
Stage_06_01_01,Stage_06_01,Enemy_Normal,14,0,0.55,0,TRUE
Stage_06_01_02,Stage_06_01,Enemy_Tanker,1,2,1,1,TRUE
Stage_06_02_01,Stage_06_02,Enemy_Normal,16,0,0.52,0,TRUE
Stage_06_02_02,Stage_06_02,Enemy_Blinker,1,2,1,1,TRUE
Stage_06_03_01,Stage_06_03,Enemy_Normal,16,0,0.5,0,TRUE
Stage_06_03_02,Stage_06_03,Enemy_Tanker,2,2,1.6,1,TRUE
Stage_06_04_01,Stage_06_04,Enemy_Normal,18,0,0.48,0,TRUE
Stage_06_04_02,Stage_06_04,Enemy_Blinker,2,1.5,1.4,1,TRUE
Stage_06_04_03,Stage_06_04,Enemy_Enrager,2,2.5,1.4,2,TRUE
Stage_07_01_01,Stage_07_01,Enemy_Normal,16,0,0.52,0,TRUE
Stage_07_01_02,Stage_07_01,Enemy_Blinker,1,2,1,1,TRUE
Stage_07_02_01,Stage_07_02,Enemy_Normal,16,0,0.5,0,TRUE
Stage_07_02_02,Stage_07_02,Enemy_Tanker,2,2,1.5,1,TRUE
Stage_07_03_01,Stage_07_03,Enemy_Normal,18,0,0.48,0,TRUE
Stage_07_03_02,Stage_07_03,Enemy_Blinker,2,1.5,1.3,1,TRUE
Stage_07_04_01,Stage_07_04,Enemy_Normal,18,0,0.46,0,TRUE
