rowID,stageID,endDelay,order,isEnable
Stage_01_Prepare,Stage_01,10,0,TRUE
Stage_01_01,Stage_01,4,1,TRUE
Stage_01_02,Stage_01,4,2,TRUE
Stage_01_03,Stage_01,0,3,TRUE
Stage_02_Prepare,Stage_02,10,0,TRUE
Stage_02_01,Stage_02,4,1,TRUE
Stage_02_02,Stage_02,4,2,TRUE
Stage_02_03,Stage_02,0,3,TRUE
Stage_03_Prepare,Stage_03,10,0,TRUE
Stage_03_01,Stage_03,4,1,TRUE
Stage_03_02,Stage_03,4,2,TRUE
Stage_03_03,Stage_03,0,3,TRUE
Stage_04_Prepare,Stage_04,10,0,TRUE
Stage_04_01,Stage_04,4,1,TRUE
Stage_04_02,Stage_04,4,2,TRUE
Stage_04_03,Stage_04,4,3,TRUE
Stage_04_04,Stage_04,0,4,TRUE
Stage_05_Prepare,Stage_05,10,0,TRUE
Stage_05_01,Stage_05,4,1,TRUE
Stage_05_02,Stage_05,4,2,TRUE
Stage_05_03,Stage_05,4,3,TRUE
Stage_05_04,Stage_05,0,4,TRUE
Stage_06_Prepare,Stage_06,10,0,TRUE
Stage_06_01,Stage_06,4,1,TRUE
Stage_06_02,Stage_06,4,2,TRUE
Stage_06_03,Stage_06,4,3,TRUE
Stage_06_04,Stage_06,0,4,TRUE
Stage_07_Prepare,Stage_07,10,0,TRUE
Stage_07_01,Stage_07,4,1,TRUE
Stage_07_02,Stage_07,4,2,TRUE
Stage_07_03,Stage_07,4,3,TRUE
Stage_07_04,Stage_07,4,4,TRUE
Stage_07_05,Stage_07,0,5,TRUE
Stage_08_Prepare,Stage_08,10,0,TRUE
Stage_08_01,Stage_08,4,1,TRUE
Stage_08_02,Stage_08,4,2,TRUE
Stage_08_03,Stage_08,4,3,TRUE
Stage_08_04,Stage_08,4,4,TRUE
Stage_08_05,Stage_08,0,5,TRUE
Stage_09_Prepare,Stage_09,10,0,TRUE
Stage_09_01,Stage_09,4,1,TRUE
Stage_09_02,Stage_09,4,2,TRUE
Stage_09_03,Stage_09,4,3,TRUE
Stage_09_04,Stage_09,4,4,TRUE
Stage_09_05,Stage_09,0,5,TRUE
Stage_10_Prepare,Stage_10,10,0,TRUE
Stage_10_01,Stage_10,4,1,TRUE
Stage_10_02,Stage_10,4,2,TRUE
Stage_10_03,Stage_10,4,3,TRUE
Stage_10_04,Stage_10,4,4,TRUE
Stage_10_05,Stage_10,4,5,TRUE
Stage_10_06,Stage_10,0,6,TRUE
Stage_11_Prepare,Stage_11,10,0,TRUE
Stage_11_01,Stage_11,4,1,TRUE
Stage_11_02,Stage_11,4,2,TRUE
Stage_11_03,Stage_11,4,3,TRUE
Stage_11_04,Stage_11,4,4,TRUE
Stage_11_05,Stage_11,4,5,TRUE
Stage_11_06,Stage_11,0,6,TRUE
Stage_12_Prepare,Stage_12,10,0,TRUE
Stage_12_01,Stage_12,4,1,TRUE
Stage_12_02,Stage_12,4,2,TRUE
Stage_12_03,Stage_12,4,3,TRUE
Stage_12_04,Stage_12,4,4,TRUE
Stage_12_05,Stage_12,4,5,TRUE
Stage_12_06,Stage_12,0,6,TRUE
